ENABLE_VTABLE_VERIFY	SILENT-VALUE	1	 gcc/defaults.h:1500
COLLECT_SHARED_INIT_FUNC	SILENT-VALUE	1	 gcc/collect2.cc:159
GO_IF_LEGITIMATE_ADDRESS	SILENT-FLOW	4	 gcc/lra-constraints.cc:356 gcc/recog.cc:1894 gcc/reload.cc:2167 gcc/targhooks.cc:107
PROMOTE_MODE	SILENT-FLOW	5	 gcc/explow.cc:898 gcc/explow.cc:913 gcc/function.cc:980 gcc/function.cc:990 gcc/function.cc:1030
UINTMAX_TYPE	SILENT-VALUE	1	 gcc/defaults.h:743
BIGGEST_FIELD_ALIGNMENT	SILENT-FLOW	6	 gcc/ada/gcc-interface/misc.cc:1147 gcc/d/d-target.cc:225 gcc/go/go-backend.cc:72 gcc/rust/rust-object-export.cc:69 gcc/stor-layout.cc:797 gcc/stor-layout.cc:2836
TARGET_DEFERRED_OUTPUT_DEFS	SILENT-VALUE	1	 gcc/defaults.h:141
SUBALIGN_LOG	SILENT-FLOW	1	 gcc/toplev.cc:1258
MULTILIB_DEFAULTS	SILENT-FLOW	1	 gcc/jit/jit-playback.cc:3564
MULTILIB_DEFAULTS	SILENT-VALUE	1	 gcc/gcc.cc:1431
ASM_FPRINTF_EXTENSIONS	SILENT-FLOW	1	 gcc/final.cc:4071
ASM_OUTPUT_OPCODE	SILENT-FLOW	3	 gcc/final.cc:3467 gcc/final.cc:3484 gcc/final.cc:4044
HAVE_COMDAT_GROUP	SILENT-VALUE	1	 gcc/defaults.h:1752
WORD_REGISTER_OPERATIONS	SILENT-VALUE	1	 gcc/defaults.h:1381
TARGET_HAS_FMV_TARGET_ATTRIBUTE	SILENT-VALUE	1	 gcc/defaults.h:986
_XOPEN_SOURCE_EXTENDED	SILENT-VALUE	1	 gcc/ada/gsocket.h:41
TARGET_ALIGN_NATURAL	SILENT-FLOW	1	 gcc/ada/gcc-interface/targtyps.cc:211
TARGET_USES_WEAK_UNWIND_INFO	SILENT-VALUE	1	 gcc/defaults.h:364
LOCAL_LABEL_PREFIX	SILENT-FLOW	1	 gcc/final.cc:4062
LOCAL_REGNO	SILENT-VALUE	1	 gcc/defaults.h:1145
TARGET_DECLSPEC	SILENT-OTHER	1	 gcc/defaults.h:883
HAVE_fmatf4	SILENT-FLOW	1	 gcc/c-family/c-cppbuiltin.cc:97
STACK_CHECK_FIXED_FRAME_SIZE	SILENT-VALUE	1	 gcc/defaults.h:1834
TARGET_SUPPORTS_WIDE_INT	SILENT-VALUE	3	 gcc/defaults.h:1373 gcc/rtl.h:782 gcc/rtl.h:852
TARGET_SUPPORTS_WIDE_INT	LOUD-DEF	4	 gcc/emit-rtl.cc:232 gcc/emit-rtl.cc:622 gcc/emit-rtl.cc:644 gcc/recog.cc:1736
TARGET_SUPPORTS_WIDE_INT	SILENT-OTHER	1	 gcc/rtl.h:2051
TARGET_SUPPORTS_WIDE_INT	LOUD-DECL	2	 gcc/emit-rtl.cc:203 gcc/rtl.h:3395
TARGET_SUPPORTS_WIDE_INT	SILENT-FLOW	11	 gcc/dwarf2out.cc:17014 gcc/dwarf2out.cc:17595 gcc/emit-rtl.cc:679 gcc/emit-rtl.cc:6423 gcc/expmed.cc:3610 gcc/genpreds.cc:1320 gcc/gensupport.cc:3570 gcc/rtl.h:2376 gcc/simplify-rtx.cc:80 gcc/simplify-rtx.cc:2125 gcc/simplify-rtx.cc:5965
INT_TYPE_SIZE	SILENT-VALUE	2	 gcc/defaults.h:619 gcc/fortran/f95-lang.cc:526
MAX_OFILE_ALIGNMENT	SILENT-VALUE	2	 gcc/ada/gcc-interface/targtyps.cc:155 gcc/defaults.h:1205
CFA_FRAME_BASE_OFFSET	SILENT-VALUE	1	 gcc/defaults.h:1224
CHAR8_TYPE	SILENT-VALUE	1	 gcc/defaults.h:703
LONG_LONG_TYPE_SIZE	SILENT-VALUE	1	 gcc/defaults.h:627
