== defaults.h guards 214 names with a matching #ifndef/#define pair
== the primary's tm.h chain defines 14422 names (defaults.h body suppressed)
== control: defaults.h's own DWARF_CIE_DATA_ALIGNMENT is absent, as it must be
== multi-target-macros.h #undefs 79 names

NAME                                     VERDICT
OUTGOING_REG_PARM_STACK_SPACE            REDIRECTED
PCC_BITFIELD_TYPE_MATTERS                DEAD-LEAK
PIC_OFFSET_TABLE_REG_CALL_CLOBBERED      LIVE
PIC_OFFSET_TABLE_REGNUM                  REDIRECTED
PID_TYPE                                 LIVE
POINTER_SIZE                             REDIRECTED
POINTER_SIZE_UNITS                       LIVE
PREFERRED_DEBUGGING_TYPE                 DEAD-LEAK
PREFERRED_STACK_BOUNDARY                 REDIRECTED
PTRDIFF_TYPE                             REDIRECTED
PUSH_ARGS_REVERSED                       REDIRECTED
REG_WORDS_BIG_ENDIAN                     LIVE
RETURN_ADDR_IN_PREVIOUS_FRAME            LIVE
RETURN_ADDR_OFFSET                       LIVE
REVERSE_CONDITION                        REDIRECTED
REVERSIBLE_CC_MODE                       REDIRECTED
SET_RATIO                                LIVE
SETUP_FRAME_ADDRESSES                    DEAD-LEAK
SHIFT_COUNT_TRUNCATED                    LIVE
SHORT_ACCUM_TYPE_SIZE                    LIVE
SHORT_FRACT_TYPE_SIZE                    LIVE
SHORT_IMMEDIATES_SIGN_EXTEND             LIVE
SHORT_TYPE_SIZE                          DEAD-LEAK
SIG_ATOMIC_TYPE                          DEAD-LEAK
SIZE_TYPE                                REDIRECTED
SIZETYPE                                 LIVE
STACK_CHECK_BUILTIN                      LIVE
STACK_CHECK_FIXED_FRAME_SIZE             LIVE
STACK_CHECK_MAX_FRAME_SIZE               LIVE
STACK_CHECK_MAX_VAR_SIZE                 LIVE
STACK_CHECK_MOVING_SP                    DEAD-LEAK
STACK_CHECK_PROBE_INTERVAL_EXP           LIVE
STACK_CHECK_PROTECT                      LIVE
STACK_CHECK_STATIC_BUILTIN               DEAD-LEAK
STACK_GROWS_DOWNWARD                     DEAD-LEAK
STACK_POINTER_OFFSET                     LIVE
STACK_PUSH_CODE                          LIVE
STACK_SAVEAREA_MODE                      DEAD-LEAK
STACK_SIZE_MODE                          DEAD-LEAK
STACK_SLOT_ALIGNMENT                     REDIRECTED
STORE_FLAG_VALUE                         LIVE
STORE_MAX_PIECES                         REDIRECTED
SUPPORTS_DISCRIMINATOR                   LIVE
SUPPORTS_INIT_PRIORITY                   LIVE
SUPPORTS_ONE_ONLY                        LIVE
SUPPORTS_SHF_GNU_RETAIN                  LIVE
SUPPORTS_WEAK                            LIVE
TARGET_CLONES_ATTR_SEPARATOR             LIVE
TARGET_COFF                              LIVE
TARGET_DEC_EVAL_METHOD                   LIVE
TARGET_DECLSPEC                          LIVE
TARGET_DEFAULT_PACK_STRUCT               LIVE
TARGET_DEFERRED_OUTPUT_DEFS              LIVE
TARGET_DLLIMPORT_DECL_ATTRIBUTES         LIVE
TARGET_FHARDENED_SUPPORTED               DEAD-LEAK
TARGET_HAS_BIONIC                        DEAD-LEAK
TARGET_HAS_FMV_TARGET_ATTRIBUTE          LIVE
TARGET_HAS_IFUNC                         DEAD-LEAK
