ASM_OUTPUT_LABELREF	48	22	2	VALUE	MINORITY	1	(FILE,NAME) do { const char *xname = (NAME); if (! strcmp (xname, MACHOPIC_FUNCTION_BASE_NAME)) machopic_output_function_base_name(FILE); else if (xname[0] == '&' || xname[0] == '*') { int len = strlen (xname); if (len > 6 && !strcmp ("$stub", xname + len - 5)) machopic_validate_stub_or_non_lazy_ptr (xname); else if (len > 7 && !strcmp ("$stub\"", xname + len - 6)) machopic_validate_stub_or_non_lazy_ptr (xname); else if (len > 14 && !strcmp ("$non_lazy_ptr", xname + len - 13)) machopic_validate_stub_or_non_lazy_ptr (xname); else if (len > 15 && !strcmp ("$non_lazy_ptr\"", xname + len - 14)) machopic_validate_stub_or_non_lazy_ptr (xname); if (xname[1] != '"' && name_needs_quotes (&xname[1])) fprintf (FILE, "\"%s\"", &xname[1]); else fputs (&xname[1], FILE); } else if (xname[0] == '+' || xname[0] == '-') fprintf (FILE, "\"%s\"", xname); else if (darwin_label_is_anonymous_local_objc_name (xname)) fprintf (FILE, "%c%s", flag_next_runtime ? 'L' : 'l', xname); else if (strncmp (xname, "__anon_cfstring", 15) == 0) fprintf (FILE, "L%s", xname); else if (xname[0] != '"' && name_needs_quotes (xname)) asm_fprintf (FILE, "\"%U%s\"", xname); else asm_fprintf (FILE, "%U%s", xname); } while (0)	(FILE,NAME) aarch64_asm_output_labelref (FILE, NAME)
ASM_OUTPUT_LABEL	48	6	40	VALUE	majority	1	(FILE,NAME) do { assemble_name ((FILE), (NAME)); fputs (":\n", (FILE)); } while (0)	(FILE,NAME) do { assemble_name ((FILE), (NAME)); fputs (":\n", (FILE)); } while (0)
INIT_ARRAY_SECTION_ASM_OP	41	1	7	PRESENCE	MINORITY	1	<undefined>	
PROFILE_HOOK	10	9	38	PRESENCE	majority	1	<undefined>	(LABEL) { rtx fun, lr; lr = aarch64_return_addr_rtx (); fun = gen_rtx_SYMBOL_REF (Pmode, MCOUNT_NAME); emit_library_call (fun, LCT_NORMAL, VOIDmode, lr, Pmode); }
DBR_OUTPUT_SEQEND	3	3	45	PRESENCE	majority	1	<undefined>	<undefined>
NO_FUNCTION_CSE	48	3	36	VALUE	majority	1	1	1
DECIMAL64_TYPE_SIZE	48	1	48	agree	majority	1	64	64
NEXT_OBJC_RUNTIME	48	2	2	VALUE	MINORITY	2	100508	0
ASM_OUTPUT_DEF_FROM_DECLS	5	5	43	PRESENCE	majority	1	<undefined>	(STR,DECL,TARGET) aarch64_asm_output_alias (STR, DECL, TARGET)
MAX_STACK_ALIGNMENT	48	1	48	CONVERTED	majority	1	(mt_max_stack_alignment ())	(mt_max_stack_alignment ())
ASM_PREFERRED_EH_DATA_FORMAT	48	19	2	VALUE	MINORITY	1	(CODE,GLOBAL) (((CODE) == 2 && (GLOBAL) == 1) || ((CODE) == 0 && (GLOBAL) == 1) ? (DW_EH_PE_pcrel | DW_EH_PE_indirect | DW_EH_PE_sdata4) : ((CODE) == 1 || (GLOBAL) == 0) ? DW_EH_PE_pcrel : DW_EH_PE_absptr)	(CODE,GLOBAL) aarch64_asm_preferred_eh_data_format ((CODE), (GLOBAL))
IFCVT_MODIFY_MULTIPLE_TESTS	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
ENABLE_VTABLE_VERIFY	48	1	48	agree	majority	1	0	0
GO_IF_LEGITIMATE_ADDRESS	1	1	47	PRESENCE	majority	4	<undefined>	<undefined>
